zp,descripcion,id_fecha,id_Grupo,id_Asunto,id_Hora,colonia,id_Lugar,calle2
521.0,POLICIA COMERCIAL,2022-03-08,ROBO A NEGOCIO,ROBO A TIENDAS DE CONVENIENCIA,17:05,PARAJES DEL SUR FRACCIONAMIENTO,MAR DEL SUR,DON MANUEL TALAMAS CAMANDARI
501.0,POLICIA COMERCIAL,2022-03-08,ROBO A NEGOCIO,ROBO FARDERO,19:55,CENTRO DE DISTRITO,DE LAS TORRES,ZARAGOZA
520.0,POLICIA COMERCIAL,2022-03-09,ROBO A NEGOCIO,ROBO A NEGOCIO,19:02,EL MEZQUITAL,MEZQUITAL,ACANTO
520.0,POLICIA COMERCIAL,2022-03-11,ROBO A NEGOCIO,ROBO FARDERO,08:56,PRADERAS DEL SOL,VISTAS DE DELICIAS SUR,MEZQUITAL
623.0,POLICIA COMERCIAL,2022-03-12,ROBO A NEGOCIO,ROBO FARDERO,15:02,ROMA,DE LAS TORRES,SANTIAGO TRONCOSO
523.0,POLICIA COMERCIAL,2022-03-16,ROBO A NEGOCIO,ROBO A NEGOCIO,21:42,PARQUE INDUSTRIAL INDEPENDENCIA,MIGUEL DE LA MADRID,ARTEMIO DE LA VEGA BERDAYEZ
506.0,UNEVID,2022-03-20,VIOLACION,VIOLACION,19:25,ECO 2000,OSO POLAR,TORTUGA NORTE
712.0,GOE,2022-03-07,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,22:50,RIVERAS DEL BRAVO,RIVERA DEL DUERO,RIVERA DEL MAPLE
522.0,SUR,2022-03-13,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,17:35,LAS HACIENDAS,HACIENDA PONIENTE,HACIENDA SANTA ROSALIA
511.0,GOE,2022-03-10,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:15,HORIZONTES DEL SUR,FRANCISCO GONZALEZ BOCANEGRA,DOMINGO GARCIA RAMOS
510.0,GOE,2022-03-10,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,17:55,MISIONES DE CREEL,PASEO DE LOS COMPOSITORES,FRANCISCO GONZALEZ BOCANEGRA
609.0,POLICIA COMERCIAL,2022-03-15,ROBO A CASA HABITACION,ROBO A CASA HABITACION,22:25,GRANJERO,CEBADA,GROSELLA
414.0,POLICIA COMERCIAL,2022-03-16,ROBO A NEGOCIO,ROBO FARDERO,10:42,USOS MIXTOS,PASEO DE LA VICTORIA,TEOFILO BORUNDA
520.0,SUR,2022-03-14,ROBO A CASA HABITACION,ROBO A CASA HABITACION,14:45,PRADERAS DEL SOL,SOL DEL LIRIO,SOL DE RIO
604.0,POLICIA COMERCIAL,2022-03-20,LESIONES ARMA DE FUEGO,LESIONES C ARMA DE FUEGO,17:30,INFONAVIT ANGELTRIAS,LECHUGUILLA,MANUEL JESUS CLOUTHIER
522.0,SUR,2022-03-21,ROBO A CASA HABITACION,ROBO A CASA HABITACION,12:00,VALLE DE ALLENDE,BLAS CANO,VALLE DE SAN BARTOLOME
522.0,SUR,2022-03-18,ROBO A CASA HABITACION,ROBO A CASA HABITACION,10:40,VALLE DE ALLENDE,GUILLERMO MAYNEZ,LA HERRADURA
519.0,SUR,2022-03-20,PORTAR OBJETOS PELIG.,PORTAR OBJETOS PELIG.,10:40,RINCONES DE SALVARCAR II,PEÐA PRIETA,TOLOGORRI
618.0,POLICIA COMERCIAL,2022-03-20,ROBO OTROS,ROBO A TRANSEUNTES,14:11,TORRES DEL PRI,DE LAS TORRES,JOSE REYES ESTRADA
612.0,POLICIA COMERCIAL,2022-03-20,ROBO A NEGOCIO,ROBO FARDERO,15:49,SERVICIOS GENERALES,MANUEL JESUS CLOUTHIER,JOSE MATEOS TORRES
608.0,POLICIA COMERCIAL,2022-03-20,ROBO A NEGOCIO,ROBO A NEGOCIO,11:03,AMPLIACION AEROPUERTO,TERCERA,PRIMERA
612.0,POLICIA COMERCIAL,2022-03-19,ROBO A NEGOCIO,ROBO A NEGOCIO,07:45,INF. AMPLIACION AEROPUERTO V,COPAIBA,MANUEL JESUS CLOUTHIER
405.0,POLICIA COMERCIAL,2022-03-18,ROBO A NEGOCIO,ROBO A TIENDAS DE CONVENIENCIA,18:50,FUENTES DEL VALLE,MANUEL GOMEZ MORIN,DEL ESTANQUE
520.0,POLICIA COMERCIAL,2022-03-18,ROBO A CASA HABITACION,ROBO A CASA HABITACION,17:06,PRADERAS DEL SOL,SOL DE LAS ACEQUIAS,SOL DE ACEQUIA
524.0,VALLE,2022-03-18,ROBO A CASA HABITACION,ROBO A CASA HABITACION,09:47,PRADERAS DEL ORIENTE,PRADERA DEL ORIENTE,PRADERA DEL SOL
518.0,GOE,2022-03-23,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,22:14,URBIVILLA BONITA,MONTE BLANCO,FUNDADORES
514.0,GOE,2022-03-21,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:52,PARAJES DE ORIENTE,DUNAS DE IRAN,DESIERTO DE KAVIR
508.0,GOE,2022-03-23,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,19:28,CENTRO DE DISTRITO,RAMON RAYON,DURANGO
523.0,GOE,2022-03-22,ROBO A NEGOCIO,ROBO FARDERO,15:20,LA ENRAMADA,HOJA DE TRUENO,HOJA DE ALMENDRO
521.0,POLICIA COMERCIAL,2022-03-23,ROBO A NEGOCIO,ROBO FARDERO,14:22,PARAJES DEL SUR FRACCIONAMIENTO,INDEPENDENCIA,DON MANUEL TALAMAS CAMANDARI
415.0,POLICIA COMERCIAL,2022-03-23,ROBO A NEGOCIO,ROBO FARDERO,09:50,USOS MIXTOS,MANUEL GOMEZ MORIN,CAMINO ESCUDERO
419.0,OPERATIVO BLOCK,2022-07-27,VIOLACION,VIOLACION,08:37,JARDINES DEL VALLE,PEDERNAL,LUZ CORRAL
510.0,RIVERAS,2022-07-31,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,15:20,MISIONES DEL REAL,SAN RAMON,SANTA CRUZ
524.0,GOE,2022-07-28,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,17:40,FLORENCIA,LEONARDO SOLIS BARRAZA,MONTES DE TOLEDO
621.0,UNEVID,2022-07-28,LESIONES ARMA BLANCA,LESIONES C ARMA BLANCA,02:24,LOTE BRAVO RODRIGUEZ BORUNDA,ENRIQUE PINOCELLI,AÑO 1823
524.0,UNEVID,2022-07-29,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,03:06,SENDEROS DE SAN ISIDRO,SENDEROS DE PAMPLONA,FUNDADORES DE AMERICA
515.0,UNEVID,2022-07-28,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:38,CARLOS CASTILLO PERAZA,MARIA TERESA ROJAS,RICARDO MONTOYA MARTINEZ
524.0,GOE,2022-07-31,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,22:00,SENDEROS DE SAN ISIDRO,SENDEROS DEL CAMPO,SENDEROS DE LOS JACINTOS
514.0,GOE,2022-07-30,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,19:46,MANUEL J. CLOUTHIER,RIO DEL NORTE,8 DE DICIEMBRE
625.0,POLICIA COMERCIAL,2022-07-29,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,20:26,PALMAS DEL SOL (VICTORIA),UNIDAD,NACIONES UNIDAS
622.0,POLICIA COMERCIAL,2022-07-28,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,01:47,PARAJES DEL SOL,DIEGO VELAZQUEZ,ANDREA MANTEGNA
517.0,UNEVID,2022-08-01,ABUSO SEXUAL,ABUSO SEXUAL,22:52,PARAJES DE SAN JUAN,MONTE LOGAN,MONTE SANTA CATALINA
212.0,POLICIA COMERCIAL,2022-08-04,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,18:35,MELCHOR OCAMPO,CHIHUAHUA,JUVENTINO ROSAS
205.0,POLICIA COMERCIAL,2022-08-03,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,19:05,CORDOVA AMERICAS,RIO CHAMPOTON,RIO PAPIGOCHI
526.0,UNEVID,2022-08-03,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,08:03,PARAJES DE SAN JUAN,COSTA DE CENTLA,COSTA BLANCA
527.0,GOE,2022-08-04,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,18:04,JARDINES DE ROMA,JARDINES DE PALERMO,PUERTA DEL SOL
631.0,RIVERAS,2022-08-04,ROBO OTROS,ROBO OTROS,17:00,GRANJAS POLO GAMBOA,TAPACHULA,TAMPICO
520.0,SUR,2022-08-01,ROBO OTROS,ROBO OTROS,19:00,PRADERAS DEL SOL,PUERTA DEL SOL,VISTAS DEL SOL
220.0,POLICIA COMERCIAL,2022-08-01,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,19:15,INFONAVIT CASAS GRANDES,CARLOS PELLICER,DE LA BUROCRACIA
208.0,POLICIA COMERCIAL,2022-08-08,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,18:05,EL BARREAL,INSURGENTES,BOLIVIA
412.0,ORIENTE,2022-08-05,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,02:15,CERRADA TURQUESA,DEL SOL,TURQUESA
403.0,UNEVID,2022-08-06,ABUSO SEXUAL,ABUSO SEXUAL,12:54,LOS CEDROS,OLMO,LOS ALMENDROS
524.0,UNEVID,2022-08-04,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,17:24,URBIVILLA DEL PRADO,PRADOS DE LAS FLORES,PRADOS DEL PORVENIR
504.0,GOE,2022-08-03,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,00:20,ZARAGOZA D. B.,RAMON RAYON,RAMON CORONA
220.0,POLICIA COMERCIAL,2022-08-05,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,14:38,INFONAVIT CASAS GRANDES,VICENTE BLASCO IBAÐEZ,GERARDO DIEGO
522.0,UNEVID,2022-08-08,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:50,VALLE DE ALLENDE,HACIENDA PONIENTE,SIERRA DEL CARMEN
202.0,POLICIA COMERCIAL,2022-08-09,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,15:15,CENTRO,LERDO,IGNACIO ALATORRE
622.0,SUR,2022-08-08,ROBO A CASA HABITACION,ROBO A CASA HABITACION,14:07,LAS HACIENDAS,HACIENDA CENTRAL,HACIENDA LA CONCEPCION
526.0,UNEVID,2022-08-11,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,10:21,SENDEROS DE SAN ISIDRO,SENDEROS DEL MONTE,FEDERICO DE LA VEGA
522.0,SUR,2022-08-10,HOMICIDIO C OTROS OBJETOS,HOMICIDIOS CAUSAS A DETERMINAR,15:00,LAS HACIENDAS,HACIENDA TIERRA BLANCA,HACIENDA CENTRAL
633.0,GOE,2022-08-10,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,03:25,TERRANOVA,DE LAS TORRES,LEONARDO SOLIS BARRAZA
